Game,Console,Genre
Blacksad: Under the Skin,PlayStation 4,"Puzzle, Adventure; Action, Fantasy, Thriller, Drama, Mystery"
Blood Bowl 2,PlayStation 4,"Sport, Strategy; Fantasy, Comedy"
Bloodborne,PlayStation 4,"Role-playing (RPG), Adventure; Action, Fantasy, Horror, Open world"
BloodRayne 2: ReVamped,PlayStation 5,"Fighting, Platform, Hack and slash/Beat 'em up, Adventure; Action, Horror"
BloodRayne: ReVamped,PlayStation 5,"Shooter, Platform, Hack and slash/Beat 'em up, Adventure; Action, Horror"
Blur,PlayStation 3,"Racing, Sport, Arcade; Action, Science fiction"
Borderlands 3,PlayStation 5,"Shooter, Role-playing (RPG); Action, Science fiction, Fantasy, Comedy, Sandbox, Open world"
Borderlands: Game of the Year Edition,PlayStation 4,"Shooter, Role-playing (RPG); Action, Science fiction, Fantasy, Comedy, Sandbox, Open world"
Borderlands: The Handsome Collection,PlayStation 4,"Shooter, Role-playing (RPG); Action, Science fiction, Fantasy, Comedy, Sandbox, Open world"
BoxVR,PlayStation VR,"Sport, Indie; Action"
Bridge Constructor,PlayStation 4,"Puzzle, Simulator, Strategy, Indie"
Brink,PlayStation 3,"Shooter; Action, Science fiction, Comedy"
Broforce,PlayStation 4,"Shooter, Platform, Adventure, Indie, Arcade; Action, Science fiction, Comedy"
Broken Age,PlayStation 4,"Point-and-click, Adventure, Indie; Fantasy, Science fiction, Comedy"
Brothers: A Tale of Two Sons,PlayStation 4,"Fighting, Puzzle, Adventure, Indie; Action, Fantasy, Drama"
Bugsnax,PlayStation 5,Adventure; Comedy
Bully,PlayStation 4,"Fighting, Sport, Adventure; Action, Comedy, Sandbox, Open world"
Burnout Legends,PlayStation Portable,"Racing; Action, Sandbox, Open world"
Burnout Paradise: Remastered,PlayStation 4,"Racing; Action, Sandbox, Open world"
Buzz Lightyear of Star Command,PlayStation 1,"Platform, Shooter, Adventure "
Buzz! Quiz World,PlayStation 3,"Puzzle, Quiz/Trivia; Comedy"
Call of Duty: Black Ops III,PlayStation 4,"Shooter, Adventure; Action, Science fiction, Warfare"
Call of Duty: Modern Warfare 2,PlayStation 3,"Shooter; Action, Stealth, Warfare"
Can't Drive This,PlayStation 5,"Racing, Indie; Action, Comedy, Party"
Captain Tsubasa: Rise of New Champions,PlayStation 4,"Sport, Arcade; Action"
Carnival Games VR,PlayStation VR,"Simulator, Sport; Party"
Castle Crashers: Remastered,PlayStation 4,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure, Indie; Action, Comedy"
Castlevania Requiem: Symphony of the Night and Rondo of Blood,PlayStation 4,"Platform, Horror; Action, Fantasy"
Catch & Release,PlayStation VR,"Simulation, Sport"
Catherine: Full Body,PlayStation 4,"Platform, Puzzle, Simulator, Adventure; Action, Horror, Comedy, Drama, Mystery, Romance"
Cel Damage HD,PlayStation 4,"Fighting, Shooter, Racing; Action, Comedy"
Celeste,PlayStation 4,"Platform, Adventure, Indie; Action, Fantasy"
Chicken Police: Paint It Red,PlayStation 5,"Point-and-click, Adventure, Indie"
Chicory: A Colorful Tale,PlayStation 5,"Role-playing (RPG), Adventure, Indie; Fantasy, Sandbox"
Child Of Light,PlayStation 4,"Role-playing (RPG), Adventure; Fantasy"
Chime Sharp,PlayStation 4,"Music, Puzzle; Non-fiction"
Cho Aniki,PlayStation 1,Shooter; Fantasy
Cities: Skylines,PlayStation 4,"Simulator, Strategy; Business, Sandbox"
Claire,PlayStation 4,"Adventure, Indie; Action, Horror"
Cloudpunk,PlayStation 5,"Role-playing (RPG), Simulator, Adventure, Indie; Science fiction"
ClusterTruck,PlayStation 4,"Platform, Indie; Action"
Colin McRae Rally,PlayStation 1,"Racing, Sport, Simulation"
Color Slayer,PlayStation 4,Indie; Action
Concept Destruction,PlayStation 5,"Racing, Indie; Action"
Concrete Genie,PlayStation 4,"Adventure; Action, Fantasy"
CoolpaintrVR,PlayStation VR,Simulation
Cosmophony,PlayStation 4,"Shooter, Music, Indie; Action"
CounterSpy,PlayStation 4,"Indie; Action, Stealth, Warfare"
Crash Bandicoot,PlayStation 1,"Platform, Adventure; Action, Fantasy, Science fiction, Comedy"
Crash Bandicoot 2,PlayStation 1,"Platform, Adventure; Action, Fantasy, Science fiction, Comedy"
Crash Bandicoot 3,PlayStation 1,"Platform, Adventure; Action, Fantasy, Science fiction, Comedy"
Crash Bandicoot 4: It's About Time,PlayStation 5,"Platform, Adventure; Action, Fantasy, Science fiction, Comedy"
Crash Bandicoot: N Sane Trilogy,PlayStation 4,"Platform, Adventure; Action, Fantasy, Science fiction, Comedy"
Crash Bash,PlayStation 1,"Adventure; Party, Action"
Crash Team Racing,PlayStation 1,"Racing; Action, Fantasy, Comedy, Party"
Crash Team Racing: Nitro Fueled,PlayStation 4,"Racing; Action, Fantasy, Comedy, Party"
Crazy Machines Elements,PlayStation 3,"Puzzle, Strategy"
Crazy Market,PlayStation Vita,"Puzzle, Strategy; Action"
Crazy Taxi: Fare Wars,PlayStation Portable,Racing; Action
Creed: Rise To Glory,PlayStation VR,"Fighting, Simulator, Sport, Indie; Action"
Croixleur Sigma,PlayStation 4,"Fighting, Hack and slash/Beat 'em up, Indie, Arcade; Action"
Cult of the Lamb,PlayStation 5,
Curse of the Dead Gods,PlayStation 4,"Adventure, Indie; Action, Fantasy"
Cyberpunk 2077,PlayStation 5,"Role-playing (RPG), Adventure; Action, Science fiction, Sandbox, Open world"
Danger Zone,PlayStation 4,"Racing, Indie; Action"
Dangerous Driving,PlayStation 4,Racing; Action
Dangerous Golf,PlayStation 4,"Sport, Indie, Arcade; Action, Sandbox"
Dark Chronicle,PlayStation 4,"Role-playing (RPG), Simulator, Adventure; Action, Fantasy"
Dark Cloud,PlayStation 4,"Role-playing (RPG), Simulator, Adventure; Action, Fantasy"
Dark Souls II: Scholar of the First Sin,PlayStation 4,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure; Action, Fantasy, Horror, Historical"
Dark Souls III,PlayStation 4,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure; Action, Fantasy, Horror, Historical"
Dark Souls Remastered,PlayStation 4,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure; Action, Fantasy, Horror, Historical"
Daxter,PlayStation Portable,"Platform, Adventure"
Day Of The Tentacle Remastered,PlayStation 4,"Point-and-click, Adventure; Fantasy, Science fiction, Historical, Comedy"
Days Gone,PlayStation 4,"Shooter, Adventure; Action, Horror, Survival, Sandbox, Open world"
Daytona USA,PlayStation 3,"Racing, Arcade"
Dead End Job,PlayStation 4,Indie; Action
Dead Island: Retro Revenge,PlayStation 4,"Hack and slash/Beat 'em up, Arcade; Action, Horror"
Dead or Alive 5: Last Round,PlayStation 4,Fighting; Action
Dead or Alive Paradise,PlayStation Portable,Sport
Dead Rising,PlayStation 4,"Hack and slash/Beat 'em up, Adventure; Action, Horror, Survival, Comedy, Sandbox"
Dead Rising 2,PlayStation 3,"Hack and slash/Beat 'em up, Adventure; Action, Horror, Survival, Comedy, Sandbox"
Dead Space,PlayStation 3,"Shooter; Action, Science fiction, Horror, Survival"
Deadpool,PlayStation 4,"Shooter, Hack and slash/Beat 'em up, Adventure; Action, Comedy"
Death Squared,PlayStation 4,"Platform, Puzzle, Strategy, Indie; Party"
Deathmatch Village,PlayStation Vita,"Hack and slash/Beat 'em up, Party"
DEEEER Simulator: Your Average Everyday Deer Game,PlayStation 4,"Role-playing (RPG), Simulator, Adventure, Indie; Action"
Deep Rock Galactic,PlayStation 5,"Shooter, Adventure, Indie; Action, Science fiction"
Destiny 2,PlayStation 4,"Fighting, Shooter, Real Time Strategy (RTS), Role-playing (RPG), Strategy, Tactical, Adventure; Action, Fantasy, Science fiction, Horror, Survival, Open world, Warfare"
Destroy All Humans!,PlayStation 4,"Shooter, Adventure; Action, Science fiction, Comedy, Open world"
Destroy All Humans! 2,PlayStation 4,"Shooter, Adventure; Action, Science fiction, Comedy, Open world"
Destroy All Humans! Remake,PlayStation 4,"Shooter, Adventure; Action, Science fiction, Comedy, Open world"
Destroy All Humans 2: Reprobed,PlayStation 5,"Shooter, Adventure; Action, Science fiction, Comedy, Open world"
Destruction Derby,PlayStation 1,Racing; Action
Detroit: Become Human,PlayStation 4,"Puzzle, Adventure; Science fiction, Thriller, Drama, Mystery"
Deus Ex,PlayStation 2,"Shooter, Role-playing (RPG), Adventure; Action, Science fiction, Stealth"
Deus Ex: Human Revolution,PlayStation 3,"Shooter, Role-playing (RPG), Adventure; Action, Science fiction, Stealth"
Devil May Cry 4,PlayStation 4,"Hack and slash/Beat 'em up, Adventure; Action, Horror"
Devil May Cry 5,PlayStation 4,"Hack and slash/Beat 'em up, Adventure; Action, Horror"
Devil May Cry Trilogy HD Collection,PlayStation 4,"Hack and slash/Beat 'em up, Adventure; Action, Horror"
Dex,PlayStation 4,"Role-playing (RPG), Adventure, Indie; Action, Science fiction"
DIRT 5,PlayStation 5,"Racing, Sport"
Discovery,PlayStation VR,"Adventure; Action, Sandbox"
Dishonored,PlayStation 3,"Adventure; Action, Stealth"
Disney Classic Games: Aladdin & The Lion King,PlayStation 4,"Platform, Adventure, Arcade; Action"
DJ Hero,PlayStation 3,Music
DJ Hero 2,PlayStation 3,Music
Dog's Life,PlayStation 2,
Doki-Doki Universe,PlayStation 4,"Simulator, Adventure; Science fiction, Comedy"
Donut County,PlayStation 4,"Puzzle, Adventure, Indie"
Doom (1993),PlayStation 4,"Shooter; Action, Science fiction, Horror"
Doom 64,PlayStation 4,"Shooter; Action, Science fiction, Horror"
Doom II,PlayStation 4,"Shooter; Action, Science fiction, Horror"
DOOM VFR,PlayStation VR,"Shooter; Action, Science fiction, Horror"
Downwell,PlayStation 4,"Platform, Adventure, Indie; Action, Fantasy, Science fiction"
Dream Match Tennis VR,PlayStation VR,"Simulation, Sport"
DreamBall,PlayStation 4,"Sport, Arcade; Party"
Dreams,PlayStation 4,"Adventure; Action, Sandbox"
DriveClub VR,PlayStation VR,"Racing, Simulator"
Driver,PlayStation 1,Racing; Action
Drunkn Bar Fight,PlayStation VR,"Fighting, Simulator"
Duke Nukem 3D,PlayStation 4,"Shooter; Action, Science fiction, Comedy"
Duke Nukem Forever,PlayStation 3,"Shooter, Adventure; Action, Science fiction, Comedy"
Eagle Flight,PlayStation VR,"Shooter, Simulator; Action"
Earthworm Jim HD,PlayStation 3,"Shooter, Platform; Action, Science fiction, Comedy"
Enter The Gungeon,PlayStation 4,"Shooter, Platform, Adventure, Indie, Arcade; Action, Fantasy"
Entwined,PlayStation 4,"Music, Indie, Arcade; Action"
Escape Plan,PlayStation 4,"Point-and-click, Puzzle, Adventure; Action, Comedy"
EVE: Valkyrie,PlayStation VR,"Shooter, Simulator; Action, Science fiction"
Everest VR,PlayStation VR,Simulator
Everybody's Golf,PlayStation 4,Sport; Comedy
Everybody's Golf 2,PlayStation Portable,Sport; Comedy
Everybody’s Golf VR,PlayStation VR,"Sport, Simulator; Comedy"
Evil Inside,PlayStation 5,"Shooter, Puzzle, Adventure, Indie; Action, Horror"
Exit the Gungeon,PlayStation 4,"Shooter, Platform, Adventure, Indie, Arcade; Action, Fantasy"
F.E.A.R,PlayStation 3,"Shooter; Action, Horror"
F1 2021,PlayStation 5,Racing
F1 Race Stars,PlayStation 3,"Racing, Arcade; Action"
Fahrenheit,PlayStation 4,"Adventure; Thriller, Drama, Mystery"
Fall Guys: Ultimate Knockout,PlayStation 4,"Platform, Sport, Indie; Action, Comedy, Party"
Fallout 4,PlayStation 4,"Shooter, Role-playing (RPG); Action, Science fiction, Survival, Sandbox, Open world"
Family Guy: Back to the Multiverse,PlayStation 3,"Shooter, Adventure; Action, Comedy"
Far Cry 2,PlayStation 3,"Shooter, Adventure; Action, Sandbox, Open world"
Far Cry 3,PlayStation 4,"Shooter, Adventure; Action, Sandbox, Open world"
Far Cry 4,PlayStation 4,"Shooter, Adventure; Action, Sandbox, Open world"
Far Cry 5,PlayStation 4,"Shooter, Adventure; Action, Sandbox, Open world"
Far Cry 6: Gold Edition,PlayStation 5,"Shooter, Adventure; Action, Sandbox, Open world"
Far Cry Classic,PlayStation 3,"Shooter, Adventure; Action, Sandbox, Open world"
Far Cry: New Dawn,PlayStation 4,"Shooter, Adventure; Action, Sandbox, Open world"
Far Cry: Primal,PlayStation 4,"Shooter, Adventure; Action, Sandbox, Open world"
Fat Princess,PlayStation 3,"Real Time Strategy (RTS), Hack and slash/Beat 'em up; Action, Historical, Comedy, Fantasy"
Fat Princess Adventures,PlayStation 4,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure; Action, Historical, Comedy, Fantasy"
Fat Princess: Piece of Cake,PlayStation Vita,"Puzzle; Action, Historical, Comedy, Fantasy"
Fear Effect,PlayStation 1,"Adventure, Horror"
Fear Effect 2: Retro Helix,PlayStation 1,"Adventure, Puzzle, Horror"
Fez,PlayStation 4,"Platform, Puzzle, Adventure, Indie; Fantasy, Open world"
FIFA 18,PlayStation 4,Sport
FIFA 19,PlayStation 4,Sport
FIFA 20,PlayStation 4,Sport
FIFA 21,PlayStation 5,Sport
FIFA 22,PlayStation 5,Sport
FIFA Street,PlayStation 3,Sport
FIFA Street 2,PlayStation 2,
Fight Night Champion,PlayStation 3,"Fighting, Simulator, Sport; Action, Drama"
Final Exam,PlayStation 3,"Shooter, Platform, Hack and slash/Beat 'em up, Indie; Action, Horror, Comedy"
Final Fantasy,PlayStation Portable,"Role-playing (RPG), Turn-based strategy (TBS), Adventure; Fantasy, Science fiction, Drama"
Final Fantasy II,PlayStation Portable,"Role-playing (RPG), Turn-based strategy (TBS), Adventure; Fantasy, Science fiction, Drama"
Final Fantasy III,PlayStation Portable,"Role-playing (RPG), Turn-based strategy (TBS), Adventure; Fantasy, Science fiction, Drama"
Final Fantasy IV,PlayStation Portable,"Role-playing (RPG), Turn-based strategy (TBS), Adventure; Fantasy, Science fiction, Drama"
Final Fantasy IX,PlayStation 1,"Role-playing (RPG), Turn-based strategy (TBS), Adventure; Fantasy, Science fiction, Drama"
Final Fantasy V,PlayStation 1,"Role-playing (RPG), Turn-based strategy (TBS), Adventure; Fantasy, Science fiction, Drama"
Final Fantasy VI,PlayStation 1,"Role-playing (RPG), Turn-based strategy (TBS), Adventure; Fantasy, Science fiction, Drama"
Final Fantasy VII,PlayStation 1,"Role-playing (RPG), Turn-based strategy (TBS), Adventure; Fantasy, Science fiction, Drama"
Final Fantasy VII Remake: Intergrade,PlayStation 5,"Role-playing (RPG), Adventure; Fantasy, Science fiction, Drama"
Final Fantasy VIII,PlayStation 1,"Role-playing (RPG), Turn-based strategy (TBS), Adventure; Fantasy, Science fiction, Drama"
Final Fantasy X/X-2 HD Remaster,PlayStation 4,"Role-playing (RPG), Turn-based strategy (TBS), Adventure; Fantasy, Science fiction, Drama"
Final Fantasy XIII,PlayStation 3,"Role-playing (RPG), Turn-based strategy (TBS), Adventure; Fantasy, Science fiction, Drama"
Final Fantasy XV: Royal Edition,PlayStation 4,"Role-playing (RPG), Adventure; Action, Fantasy, Science fiction, Survival, Sandbox, Open world"
First Class Trouble,PlayStation 5,"Indie; Action, Science fiction, Survival, Comedy, Party"
Five Dates,PlayStation 4,"Adventure, Simulator"
Flame Over,PlayStation Vita,"Shooter, Simulator, Indie; Action"
Flashback,PlayStation 4,"Platform, Adventure, Puzzle"
Flockers,PlayStation 4,"Puzzle, Strategy, Indie; Action, Comedy"
Floor Plan,PlayStation VR,"Adventure, Simulator, Indie"
flOw,PlayStation 4,"Puzzle, Simulator, Strategy, Indie; Action"
Flower,PlayStation 4,"Puzzle, Adventure, Indie"
Football Manager Classic 2014,PlayStation Vita,"Sport, Simulation"
forma.8,PlayStation 4,"Adventure, Indie; Action, Science fiction"
Formula Retro Racing,PlayStation 4,"Racing, Indie"
Fortnite,PlayStation 5,"Shooter, Role-playing (RPG), Strategy; Action, Survival, Sandbox, Open world"
Freedom Fighters,PlayStation 2,
Fruit Ninja VR,PlayStation VR,"Simulator, Sport, Arcade; Action, Party"
Futuridium,PlayStation 4,"Shooter, Indie; Action, Science fiction"
Game Of Thrones TTG,PlayStation 4,"Point-and-click, Adventure; Fantasy, Historical, Drama"
Genshin Impact,PlayStation 5,"Role-playing (RPG); Action, Fantasy, Open world"
Geometry Wars 3: Dimensions Evolved,PlayStation 4,"Shooter, Arcade; Action"
Get Off My Lawn!,PlayStation Vita,"Shooter, Indie; Action, Science fiction"
Gex,PlayStation 1,"Platform, Adventure; Action, Science fiction, Comedy"
Gex 3D: Enter the Gecko,PlayStation 1,"Platform, Adventure; Action, Science fiction, Comedy"
Gex: Deep Cover Gecko,PlayStation 1,"Platform, Adventure; Action, Science fiction, Comedy"
Ghost Blade HD,PlayStation 4,"Shooter, Indie, Arcade; Action, Science fiction"
Ghost of Tsushima,PlayStation 4,"Hack and slash/Beat 'em up, Adventure; Action, Historical, Stealth, Drama, Open world"
Ghostbusters,PlayStation 4,"Shooter, Adventure; Action, Horror, Comedy"
Ghostrunner,PlayStation 5,"Shooter, Platform, Adventure; Action, Science fiction"
Ghostwire: Tokyo,PlayStation 5,"Adventure; Action, Horror, Mystery, Open world"
Girl Fight,PlayStation 3,Fighting; Science fiction
Goat Simulator,PlayStation 4,"Adventure, Simulator, Indie; Action, Comedy, Sandbox, Open world"
God of War,PlayStation 3,"Hack and slash/Beat 'em up, Adventure; Action, Fantasy, Historical"
God of War,PlayStation 4,"Hack and slash/Beat 'em up, Adventure; Action, Fantasy, Historical"
God of War II,PlayStation 3,"Hack and slash/Beat 'em up, Adventure; Action, Fantasy, Historical"
God of War III Remastered,PlayStation 4,"Hack and slash/Beat 'em up, Adventure; Action, Fantasy, Historical"
Godfall,PlayStation 5,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure; Action, Fantasy"
Granblue Fantasy: Versus,PlayStation 4,"Fighting; Action, Fantasy"
Gran Turismo 5,PlayStation 3,"Racing, Simulator, Sport; Action, Non-fiction"
Grand Ages: Medieval,PlayStation 4,"Real Time Strategy (RTS), Role-playing (RPG), Simulator, Strategy; Survival, Historical, Business, Non-fiction, Educational, Warfare, 4X (explore, expand, exploit, and exterminate)"
Grand Theft Auto III,PlayStation 4,"Shooter, Racing, Simulator, Adventure; Action, Open world"
Grand Theft Auto IV: The Complete Collection,PlayStation 3,"Shooter, Racing, Simulator, Adventure; Action, Open world"
Grand Theft Auto V,PlayStation 5,"Shooter, Racing, Simulator, Adventure; Action, Open world"
Grand Theft Auto: Chinatown Wars,PlayStation Portable,"Shooter, Racing, Simulator, Adventure; Action, Open world"
Grand Theft Auto: Liberty City Stories,PlayStation Portable,"Shooter, Racing, Simulator, Adventure; Action, Open world"
Grand Theft Auto: San Andreas,PlayStation 4,"Shooter, Racing, Simulator, Adventure; Action, Open world"
Grand Theft Auto: Vice City,PlayStation 4,"Shooter, Racing, Simulator, Adventure; Action, Open world"
Grand Theft Auto: Vice City Stories,PlayStation Portable,"Shooter, Racing, Simulator, Adventure; Action, Open world"
Gravity Crash,PlayStation Portable,"Shooter, Arcade; Action, Science fiction"
Grim Fandango Remastered,PlayStation 4,"Point-and-click, Puzzle, Adventure; Comedy, Drama"
Groundhog Day: Like Father Like Son,PlayStation VR,"Puzzle, Adventure; Comedy, Mystery"
Gun,PlayStation 2,
Gun Club VR,PlayStation VR,"Shooter, Simulator; Action"
Gunslugs,PlayStation Vita,"Shooter, Indie, Arcade; Action"
Harry Potter & The Chamber of Secrets,PlayStation 2,
Harvest Moon: A Wonderful Life,PlayStation 4,"Role-playing (RPG), Simulator; Sandbox, Fantasy, Business"
Hatoful Boyfriend,PlayStation 4,"Role-playing (RPG), Simulator, Adventure, Indie, Visual Novel; Romance, Comedy"
Headmaster,PlayStation VR,"Puzzle, Sport, Indie; Action, Comedy, Party"
Heart&Slash,PlayStation 4,"Hack and slash/Beat 'em up, Adventure, Indie; Action, Science fiction"
Heavenly Bodies,PlayStation 5,
Heavy Rain,PlayStation 4,"Adventure; Action, Thriller, Drama, Mystery"
Hell Let Loose,PlayStation 5,"Shooter, Simulator, Strategy, Indie; Action"
Helldivers,PlayStation 4,"Shooter, Real Time Strategy (RTS); Action, Science fiction"
Hercules,PlayStation 1,"Platform, Adventure; Action, Comedy"
Hitman 2,PlayStation 4,"Shooter, Tactical; Action, Stealth"
Hitman: Absolution,PlayStation 3,"Shooter, Tactical; Action, Stealth"
Hogs of War,PlayStation 1,"Role-playing (RPG), Turn-based strategy (TBS), Adventure; Fantasy"
Hohokum,PlayStation 4,"Music, Adventure, Indie; Action, Sandbox"
Hollow Knight: Voidheart Edition,PlayStation 4,"Platform, Adventure, Indie; Action, Fantasy"
Home,PlayStation 4,"Puzzle, Adventure, Indie; Science fiction, Horror"
Homestar VR,PlayStation VR,"Casual, Simulation, Educational, Indie"
HoPiKo,PlayStation 4,"Platform, Puzzle, Indie; Action"
Horizon Zero Dawn,PlayStation 4,"Shooter, Role-playing (RPG), Adventure; Action, Science fiction, Drama, Open world"
Hot Wheels Unleashed,PlayStation 5,
Hotel R'n'R,PlayStation VR,"Simulator, Adventure, Indie; Action"
Hotline Miami,PlayStation 4,"Shooter, Indie; Action"
Hotline Miami 2: Wrong Number,PlayStation 4,"Shooter, Indie; Action"
Hue,PlayStation 4,"Platform, Puzzle, Adventure, Indie"
Human Fall Flat,PlayStation 5,"Platform, Puzzle, Adventure, Indie; Action, Comedy, Sandbox"
Hustle Kings VR,PlayStation VR,Sport
I am Bread,PlayStation 4,"Platform, Puzzle, Simulator, Adventure, Indie; Action, Comedy"
I Expect You To Die,PlayStation VR,"Puzzle, Simulator, Adventure, Indie; Comedy, Mystery"
I Expect You to Die 2,PlayStation VR,"Puzzle, Simulator, Adventure, Indie; Comedy, Mystery"
ICO Classics HD,PlayStation 3,"Platform, Puzzle, Adventure; Action, Fantasy, Drama"
In Rays of the Light,PlayStation 5,"Puzzle, Adventure, Indie; Action, Drama"
inFamous,PlayStation 3,"Shooter, Platform, Hack and slash/Beat 'em up, Puzzle, Role-playing (RPG); Action, Sandbox, Open world"
inFamous 2,PlayStation 3,"Shooter, Platform, Hack and slash/Beat 'em up, Puzzle, Role-playing (RPG); Action, Sandbox, Open world"
inFamous First Light,PlayStation 4,"Shooter, Platform, Adventure; Action, Science fiction, Sandbox"
inFamous Second Son,PlayStation 4,"Shooter, Platform, Adventure; Action, Sandbox, Open world"
inFamous: Festival of Blood,PlayStation 3,"Shooter, Platform, Hack and slash/Beat 'em up, Puzzle, Role-playing (RPG); Action, Horror, Sandbox, Open world"
Infliction: Extended Cut,PlayStation 5,"Adventure, Indie; Horror"
Injustice: Gods Among Us,PlayStation 4,Fighting; Action
Injustice 2,PlayStation 4,Fighting; Action
It Takes Two,PlayStation 5,"Platform, Puzzle, Adventure; Action"
Jak 3,PlayStation 4,"Shooter, Platform, Racing, Adventure; Action, Science fiction, Comedy"
